41,119,208,367,379
210,304,342,367,371
40,210,211,309,367
62,139,304,367,372
74,210,304,379,384
40,137,251,283,367
77,139,210,211,367
139,177,302,367,372
304,367,374,379,384
177,302,304,367,374
74,177,211,309,384
280,304,351,371,384
62,232,243,268,377
175,211,309,318,371
119,177,304,342,372
126,173,304,318,367
124,211,280,296,370
92,130,251,302,367
18,116,203,223,288
40,210,211,302,367
175,374,378,379,384
92,127,304,371,379
62,208,243,318,367
126,231,243,304,318
40,97,210,211,378
309,367,371,372,379
211,309,367,371,379
41,102,113,367,379
18,39,208,280,372
41,302,309,367,379
177,304,309,372,380
12,130,188,259,309
62,211,302,367,384
177,211,296,367,371
22,203,210,304,372
177,304,372,374,384
210,211,302,309,367
155,208,255,367,379
175,226,371,374,385
119,132,136,372,380
74,177,225,367,374
210,276,304,372,384
119,177,304,367,371
127,251,280,301,374
139,211,318,367,372
211,302,309,318,367
177,231,304,367,374
39,126,139,226,367
72,211,234,374,379
62,211,372,379,384
2,6,12,63,72
13,40,62,371,372
62,211,371,380,384
175,211,367,379,384
153,304,367,372,379
210,211,309,367,377
2,18,211,280,374
53,173,208,239,309
53,208,302,372,380
148,170,309,373,378
144,239,251,280,367
210,231,304,318,367
41,208,302,374,379
41,102,138,139,239
53,126,211,367,380
243,251,304,309,371
166,210,237,304,371
119,139,148,309,367
93,132,280,367,371
41,62,139,280,304
139,210,211,302,367
62,211,367,372,377
126,177,225,376,384
119,139,148,302,367
227,309,367,372,380
107,302,304,374,384
81,211,302,318,372
40,175,371,372,379
119,148,342,367,384
211,309,318,371,372
77,210,211,367,372
148,304,351,367,372
119,177,211,367,372
119,210,304,367,371
92,177,237,243,296
211,227,349,373,379
182,211,367,377,379
14,18,175,225,371
62,304,367,371,372
225,280,293,309,367
211,280,367,374,384
105,119,239,243,342
189,210,309,338,367
2,231,347,367,372
85,211,291,349,373
251,329,367,371,374
53,302,304,309,318
139,173,210,274,351
210,280,302,304,367
39,62,155,304,318
211,227,251,367,378
210,243,304,367,374
225,227,302,349,374
41,304,367,378,379
211,367,372,379,384
40,77,210,211,302
17,62,177,213,296
86,119,175,226,379
177,211,231,296,371
40,280,302,304,372
127,226,304,374,379
40,210,243,304,367
210,226,309,367,372
41,227,251,367,371
139,177,304,309,372
92,208,210,296,318
139,234,304,323,371
175,211,243,318,374
119,177,304,309,372
62,148,253,333,374
77,127,252,318,374
177,189,211,296,302
173,237,243,302,359
139,210,211,309,367
29,302,318,342,385
208,239,374,378,379
119,177,342,367,372
40,221,231,237,304
107,182,211,251,371
41,210,280,304,374
40,211,302,367,372
2,27,105,216,374
77,127,210,243,309
18,62,208,302,318
119,175,304,318,371
202,304,309,318,372
62,211,243,367,384
107,304,372,374,377
41,211,359,374,385
92,119,177,237,296
2,40,55,74,77
119,177,231,304,371
53,67,304,342,367
119,210,226,251,376
117,131,136,175,371
304,309,367,372,380
125,131,237,297,311
92,98,175,237,302
77,210,304,309,374
12,72,130,259,309
62,232,259,371,380
119,177,309,367,371
177,304,309,372,384
127,231,280,304,374
41,119,280,309,367
107,126,304,367,371
62,177,231,309,367
119,226,302,372,374
29,225,349,367,372
177,211,309,367,372
77,208,296,370,384
148,181,227,304,367
119,139,148,342,367
139,177,225,367,374
127,175,251,374,379
82,139,155,214,316
2,127,208,231,318
74,280,304,309,374
233,304,367,371,379
126,131,304,367,371
77,210,211,302,374
210,211,302,309,318
53,126,139,211,302
119,139,210,302,309
6,14,18,139,367
148,181,280,304,374
119,148,225,342,372
127,132,280,318,372
2,211,227,251,309
139,202,211,251,378
62,280,304,372,384
119,148,225,342,367
51,115,225,349,367
175,211,268,318,367
280,304,309,318,372
210,211,302,309,379
93,132,280,371,372
41,302,304,374,379
77,210,211,309,367
53,177,302,318,367
132,139,302,309,370
107,239,304,309,371
177,304,312,346,378
29,243,351,367,372
177,304,309,371,372
139,302,318,361,372
304,318,367,371,374
153,304,318,371,377
148,159,302,367,374
304,371,374,377,379
53,126,215,309,367
15,177,189,231,300
164,210,304,309,371
77,155,239,251,367
119,177,225,367,384
118,139,140,226,228
126,177,211,304,371
29,226,302,372,380
107,302,304,367,374
177,304,309,367,371
62,210,211,367,372
166,172,202,269,328
92,210,302,367,372
41,62,211,302,367
74,127,243,251,342
40,304,371,372,380
119,139,148,225,367
119,148,304,342,372
119,139,148,367,379
41,123,304,361,374
40,210,211,296,367
41,119,211,309,372
139,211,302,318,342
148,181,227,304,374
62,304,309,372,380
107,127,181,302,374
107,211,251,309,384
107,127,182,280,374
119,177,225,372,374
8,77,309,367,377
130,189,211,367,372
2,72,211,302,374
210,239,304,371,384
177,304,349,371,373
2,14,18,302,374
62,226,243,268,377
137,304,309,318,371
177,304,309,367,384
177,211,309,318,367
115,304,309,367,371
119,177,304,367,372
250,251,302,318,374
130,189,211,328,379
304,374,378,379,384
68,97,175,280,349
251,309,371,374,384
107,182,302,304,374
139,211,231,320,384
119,139,177,304,367
40,65,282,311,372
62,133,211,380,384
280,304,351,367,371
257,367,372,379,380
62,139,226,367,384
62,208,280,309,367
318,349,373,374,384
119,304,318,367,372
210,302,304,367,372
119,210,226,309,371
115,210,225,309,367
164,192,193,203,364
119,177,225,349,371
63,190,211,280,367
210,211,304,367,380
41,139,304,309,367
74,93,132,280,367
127,280,302,304,374
54,119,211,318,342
119,139,148,367,378
62,211,318,361,371
40,251,362,371,384
1,5,12,19,210
14,18,304,372,375
227,231,304,367,380
41,280,304,374,377
41,98,208,309,367
41,126,280,367,372
126,148,181,280,304
160,208,243,318,379
127,177,214,248,291
53,126,309,367,371
210,211,309,367,384
92,107,302,304,374
210,302,367,372,384
126,139,202,304,367
39,211,251,372,374
108,127,243,367,380
210,302,304,367,374
175,226,367,374,385
119,189,302,367,372
62,243,304,318,371
92,119,243,367,384
2,131,243,309,342
211,231,309,372,379
119,139,148,304,367
