94,233,445,778,797
448,645,730,778,785
91,448,450,658,778
130,286,645,778,786
145,448,645,797,804
91,282,530,609,778
149,286,448,450,778
286,376,642,778,786
645,778,788,797,804
376,642,645,778,788
145,376,450,658,804
598,645,752,785,804
130,480,497,571,795
373,450,658,681,785
233,376,645,730,786
245,362,645,681,778
243,450,598,635,784
184,254,530,642,778
38,229,429,470,620
91,448,450,642,778
373,788,796,797,804
184,248,645,785,797
130,445,497,681,778
245,479,497,645,681
91,196,448,450,796
658,778,785,786,797
450,658,778,785,797
94,202,224,778,797
38,89,445,598,786
94,642,658,778,797
376,645,658,786,798
25,254,392,553,658
130,450,642,778,804
376,450,635,778,785
45,429,448,645,786
376,645,786,788,804
448,450,642,658,778
319,445,545,778,797
373,473,785,788,805
233,260,279,786,798
145,376,472,778,788
448,591,645,786,804
233,376,645,778,785
248,530,598,641,788
286,450,681,778,786
450,642,658,681,778
376,479,645,778,788
89,245,286,473,778
143,450,482,788,797
130,450,786,797,804
3,9,25,131,143
26,91,130,785,786
130,450,785,798,804
373,450,778,797,804
310,645,778,786,797
448,450,658,778,795
3,38,450,598,788
115,362,445,488,658
115,445,642,786,798
303,356,658,787,796
295,488,530,598,778
448,479,645,681,778
94,445,642,788,797
94,202,284,286,488
115,245,450,778,798
497,530,645,658,785
350,448,485,645,785
233,286,303,658,778
186,260,598,778,785
94,130,286,598,645
286,448,450,642,778
130,450,778,786,795
245,376,472,794,804
233,286,303,642,778
474,658,778,786,798
212,642,645,788,804
160,450,642,681,786
91,373,785,786,797
233,303,730,778,804
450,658,681,785,786
149,448,450,778,786
303,645,752,778,786
233,376,450,778,786
233,448,645,778,785
184,376,485,497,635
450,474,748,787,797
381,450,778,795,797
28,38,373,472,785
130,645,778,785,786
472,598,628,658,778
450,598,778,788,804
208,233,488,497,730
395,448,658,724,778
3,479,745,778,786
169,450,625,748,787
530,701,778,785,788
115,642,645,658,681
286,362,448,587,752
448,598,642,645,778
89,130,319,645,681
450,474,530,778,796
448,497,645,778,788
472,474,642,748,788
94,645,778,796,797
450,778,786,797,804
91,149,448,450,642
36,130,376,460,635
171,233,373,473,797
376,450,479,635,785
91,598,642,645,786
248,473,645,788,797
91,448,497,645,778
448,473,658,778,786
94,474,530,778,785
286,376,645,658,786
184,445,448,635,681
286,482,645,691,785
373,450,497,681,788
233,376,645,658,786
130,303,537,711,788
149,248,534,681,788
376,395,450,635,642
362,485,497,642,768
286,448,450,658,778
65,642,681,730,805
445,488,788,796,797
233,376,730,778,786
91,468,479,485,645
212,381,450,530,785
94,448,598,645,788
91,450,642,778,786
3,57,208,463,788
149,248,448,497,658
38,130,445,642,681
233,373,645,681,785
428,645,658,681,786
130,450,497,778,804
212,645,786,788,795
94,450,768,788,805
184,233,376,485,635
3,91,121,145,149
233,376,479,645,785
115,135,645,730,778
233,448,473,530,794
230,257,279,373,785
645,658,778,786,798
244,257,485,637,663
184,197,373,485,642
149,448,645,658,788
25,143,254,553,658
130,480,553,785,798
233,376,658,778,785
376,645,658,786,804
248,479,598,645,788
94,233,598,658,778
212,245,645,778,785
130,376,479,658,778
233,473,642,786,788
65,472,748,778,786
376,450,658,778,786
149,445,635,784,804
303,380,474,645,778
233,286,303,730,778
286,376,472,778,788
248,373,530,788,797
162,286,319,461,678
3,248,445,479,681
145,598,645,658,788
481,645,778,785,797
245,257,645,778,785
149,448,450,642,788
448,450,642,658,681
115,245,286,450,642
233,286,448,642,658
9,28,38,286,778
303,380,598,645,788
233,303,472,730,786
248,260,598,681,786
3,450,474,530,658
286,428,450,530,796
130,598,645,786,804
233,303,472,730,778
113,227,472,748,778
373,450,571,681,778
598,645,658,681,786
448,450,642,658,797
186,260,598,785,786
94,642,645,788,797
149,448,450,658,778
115,376,642,681,778
260,286,642,658,784
212,488,645,658,785
376,645,666,743,796
65,497,752,778,786
376,645,658,785,786
286,642,681,771,786
645,681,778,785,788
310,645,681,785,795
303,330,642,778,788
645,785,788,795,797
115,245,462,658,778
31,376,395,479,640
342,448,645,658,785
149,319,488,530,778
233,376,472,778,804
232,286,288,473,475
245,376,450,645,785
65,473,642,786,798
212,642,645,778,788
376,645,658,778,785
130,448,450,778,786
350,359,428,573,700
184,448,642,778,786
94,130,450,642,778
145,248,497,530,730
91,645,785,786,798
233,286,303,472,778
233,303,645,730,786
233,286,303,778,797
94,242,645,771,788
91,448,450,635,778
94,233,450,658,786
286,450,642,681,730
303,380,474,645,788
130,645,658,786,798
212,248,380,642,788
212,450,530,658,804
212,248,381,598,788
233,376,472,786,788
15,149,658,778,795
254,395,450,778,786
3,143,450,642,788
448,488,645,785,804
376,645,748,785,787
3,28,38,642,788
130,473,497,571,795
282,645,658,681,785
376,645,658,778,804
376,450,658,681,778
227,645,658,778,785
233,376,645,778,786
526,530,642,681,788
254,395,450,700,797
645,788,796,797,804
136,196,373,598,748
530,658,785,788,804
212,381,642,645,788
286,450,479,685,804
233,286,376,645,778
91,133,604,663,786
130,264,450,798,804
598,645,752,778,785
547,778,786,797,798
130,286,473,778,804
130,445,598,658,778
681,748,787,788,804
233,645,681,778,786
448,642,645,778,786
233,448,473,658,785
227,448,472,658,778
342,405,407,429,774
233,376,472,748,785
131,398,450,598,778
448,450,645,778,798
94,286,645,658,778
145,186,260,598,778
248,598,642,645,788
119,233,450,681,730
233,286,303,778,796
130,450,681,771,785
91,530,772,785,804
2,7,25,39,448
28,38,645,786,793
474,479,645,778,798
94,598,645,788,795
94,197,445,658,778
94,245,598,778,786
245,303,380,598,645
334,445,497,681,797
248,376,461,521,625
115,245,658,778,785
448,450,658,778,804
184,212,642,645,788
448,642,778,786,804
245,286,428,645,778
89,450,530,786,788
213,248,497,778,798
448,642,645,778,788
373,473,778,788,805
233,395,642,778,786
130,497,645,681,785
184,233,497,778,804
3,257,497,658,730
450,479,658,786,797
233,286,303,645,778
196,286,598,642,645
15,184,479,598,778
130,445,778,786,797
91,450,488,497,797
245,479,497,645,804
130,133,547,788,796
245,376,645,778,785
28,38,286,445,614
130,448,450,778,785
448,645,658,681,788
25,133,730,745,778
303,380,642,658,787
65,145,472,645,681
94,448,450,666,778
286,642,645,658,778
145,260,497,620,804
157,257,392,500,655
445,448,450,658,778
480,530,785,786,804
376,450,639,752,804
145,248,778,788,798
89,330,342,376,798
94,645,658,681,786
94,645,778,786,795
286,376,474,645,788
130,233,473,788,798
115,645,730,797,804
245,376,645,784,785
38,448,645,730,785
530,642,658,778,786
479,711,778,784,797
91,380,561,598,642
286,376,645,730,786
26,183,638,762,794
9,445,547,786,797
132,149,450,658,778
184,642,645,778,798
286,479,530,635,778
142,598,645,746,796
45,181,227,778,788
149,448,658,681,786
310,645,778,788,797
130,450,474,778,786
376,642,645,658,778
212,381,473,642,788
248,642,645,681,788
373,473,778,788,798
184,310,645,778,797
145,233,248,530,658
38,530,786,797,804
3,392,645,658,681
233,376,445,778,786
373,395,450,530,787
25,143,160,658,745
94,645,658,778,797
233,321,448,774,778
233,642,645,709,730
113,227,286,303,658
373,472,681,788,797
227,232,286,558,748
132,319,660,785,797
245,448,473,778,785
450,658,788,797,798
171,233,376,658,786
91,115,450,778,785
130,233,473,681,786
25,232,324,392,658
184,448,450,642,707
130,284,448,450,462
286,448,642,658,778
233,245,248,445,797
233,286,450,658,778
184,212,473,474,480
145,212,245,381,645
184,598,645,785,804
214,450,642,778,797
448,450,598,658,778
303,645,658,778,785
132,248,362,530,545
186,260,641,786,797
3,245,468,645,681
184,471,497,660,681
579,658,681,785,788
34,184,380,497,681
